 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
----- -------- -- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
10382 20180531  1   15.1   17.6   25.5   31.1   48.2    2.0    9.3   13.1    3.0    0.0 1010.7
10382 20180530  1   16.5   19.3   24.6   31.8   49.3    2.0   10.5   11.2    3.0    2.6 1010.4
10382 20180529  1   18.6   20.4   26.0   31.7   36.7    3.0   11.7   14.8    1.0    0.0 1011.8
10382 20180528  1   15.0   16.5   25.1   31.8   50.7    3.0   10.3   13.8    3.9    0.0 1015.4
10382 20180527  1   12.9   13.9   20.4   27.8   63.8    2.0   10.8   10.2    4.0    0.3 1016.6
10382 20180526  1    9.0   13.7   20.2   26.9   55.6    2.0    8.4   10.7    2.5    0.0 1017.7
10382 20180525  1   13.3   15.5   21.0   26.9   45.4    3.0   10.3   14.0    2.2    0.0 1016.9
10382 20180524  1   13.4   14.6   20.1   25.6   48.8    3.0   13.7   14.1    3.5    0.0 1018.5
10382 20180523  1    9.2   12.9   19.5   25.1   47.7    3.0    9.8   13.3    4.5    0.0 1016.8
10382 20180522  1   10.2   12.0   19.2   24.7   42.3    2.0    9.9   14.3    1.8    0.0 1011.7
10382 20180521  1    6.1    9.6   17.8   23.8   44.5    3.0   13.7   14.0    1.5    0.0 1016.6
10382 20180520  1    6.7    7.9   16.0   21.8   42.5    3.0   10.3   14.6    0.9    0.0 1020.7
10382 20180519  1   10.2   11.6   16.3   21.6   52.9    2.0   11.3   12.6    5.3    0.0 1017.8
10382 20180518  1    6.8    8.9   12.1   14.3   78.7    3.0    8.2    0.0    6.2    0.0 1014.8
10382 20180517  1    9.1   10.7   16.4   22.2   67.8    3.0   10.8   12.3    6.3    0.0 1009.1
10382 20180516  1   11.3   11.6   16.8   22.8   71.1    2.0    9.6    7.5    6.6    0.0 1007.8
10382 20180515  1    4.6   10.9   15.6   23.6   65.3    2.0   15.1    6.5    4.8   25.8 1010.2
10382 20180514  1    7.5   13.2   19.6   24.3   41.8    3.0   15.4   14.3    0.8    0.0 1010.1
10382 20180513  1   11.9   13.6   20.7   26.8   50.3    3.0   12.9   14.1    0.6    0.0 1008.9
10382 20180512  1    3.2    8.0   17.1   23.2   71.0    2.0    8.2    8.1    2.8    0.0 1013.4
10382 20180511  1    5.8   10.4   13.9   16.4   83.3    2.0    9.3    0.3    6.4    0.0 1014.7
10382 20180510  1   14.2   14.5   20.6   27.7   61.4    3.0   10.8    6.8    6.1    0.9 1004.7
10382 20180509  1   12.3   14.2   20.8   27.2   52.6    3.0   16.3   11.7    1.8    0.6 1005.7
10382 20180508  1    7.3   12.1   19.7   25.9   47.4    2.0   12.2   14.0    0.0    0.0 1011.4
10382 20180507  1    1.7    8.0   18.3   24.9   52.1    2.0    9.9   14.0    0.3    0.0 1018.3
10382 20180506  1    2.8    7.8   16.0   21.9   52.6    2.0    9.1   13.9    0.3    0.0 1022.3
10382 20180505  1   -0.2    5.6   13.6   19.8   49.0    2.0    8.6   13.8    1.5    0.0 1023.1
10382 20180504  1   -3.0    3.0   12.3   19.2   47.8    2.0    8.1   13.8    1.3    0.0 1019.5
10382 20180503  1   -0.3    6.0   13.9   20.4   54.2    2.0    9.9    8.3    3.7    0.0 1010.7
10382 20180502  1   -3.8    2.9   11.1   14.9   58.4    2.0    7.7    1.7    6.0    0.0 1010.5
10382 20180501  3   -1.7    5.4   12.6   16.8   50.0    4.0   16.6   10.6    2.8    0.0 1005.4
10382 20180430  3    3.1   11.0   17.1   24.5   57.1    3.0   15.9    9.6    2.3    0.0  997.2
10382 20180429  3    5.7    9.8   18.0   24.0   55.5    2.0    8.2   10.5    3.3    0.0 1005.2
10382 20180428  3    0.3    5.6   15.5   22.7   52.3    2.0   10.8   12.0    5.0    0.0 1006.2
10382 20180427  3   -1.3    4.1   11.4   16.3   60.8    2.0    8.6    9.5    5.2    0.0 1010.2
10382 20180426  3    0.2    4.7    8.8   13.4   78.2    3.0   20.7    3.9    4.7    4.6 1008.7
10382 20180425  3    2.5    6.5   12.6   19.1   71.9    4.0   21.9    4.5    5.3    2.1 1003.4
10382 20180424  3    2.8    7.7   12.7   16.5   68.8    3.0   13.7    2.6    7.0    0.6 1009.5
10382 20180423  3    6.1   11.5   17.3   22.2   62.2    3.0   14.9    6.8    5.8    0.0 1007.2
10382 20180422  3    1.0    7.6   17.3   23.7   52.0    2.0   10.8   12.3    4.7    0.0 1011.0
10382 20180421  3    4.6   10.9   16.7   22.2   55.0    2.0    9.3   12.3    2.0    0.0 1015.0
10382 20180420  3    5.9   12.6   20.3   27.5   56.1    2.0    9.1   12.7    1.9    0.0 1018.8
10382 20180419  3    3.6    8.6   17.9   24.9   62.8    1.0    6.5   12.6    2.3    0.0 1026.4
10382 20180418  3    1.7    7.5   16.4   23.8   61.0    2.0   10.8   12.4    1.4    0.0 1027.0
10382 20180417  3    1.9    5.5   13.1   18.7   69.3    2.0   10.1    9.9    2.3    0.0 1021.1
10382 20180416  3    7.2    9.8   11.8   14.9   83.3    2.0    5.3    0.0    7.9    1.0 1009.3
10382 20180415  3    6.2    8.4   15.1   22.3   65.0    2.0    7.7    7.1    5.8    0.0 1009.5
10382 20180414  3    7.0    9.5   13.1   17.7   78.8    3.0   13.2    3.2    5.7    1.3 1011.7
10382 20180413  3   10.5   11.2   16.2   20.4   74.0    3.0   12.9    1.6    7.2   19.7 1002.4
10382 20180412  3    9.3   10.5   16.6   23.6   62.9    3.0   13.4    6.8    4.6    0.0 1001.9
10382 20180411  3    9.4   10.4   13.9   18.8   70.4    3.0   11.8    9.9    2.9    0.0 1005.6
10382 20180410  3    5.3   10.5   17.1   24.5   55.8    3.0   11.5   11.0    2.2    0.0 1001.7
10382 20180409  3   -0.7    3.3   14.9   22.3   56.8    2.0    7.4   10.6    2.7    0.0 1002.5
10382 20180408  3    2.3    8.0   14.9   20.8   52.5    3.0   13.2   12.1    0.0    0.0 1007.1
